close,volume,open,high,low
197.18,41208710,199.95,198.85,192.77
200.72,34908610,202.9,201.68,196.66
202.9,26339500,202.86,205.34,201.75
202.86,38763700,208.48,207.418,200.825
208.48,32443110,211.75,208.84,203.5
211.75,20892380,209.15,211.84,210.23
209.15,31996320,210.52,212.65,208.13
210.52,64827330,200.67,215.31,209.23
200.67,45751160,203.06,203.4,199.11
204.61,22010360,204.4,205.97,203.86
204.3,18612770,204.9,205,202.12
205.28,18463850,206.83,207.76,205.12
207.16,17427570,207.36,208.48,207.05
207.48,23286380,204.43,207.75,203.9
204.53,17841920,202.83,204.94,202.34
203.86,24185530,203.12,204.15,202.52
203.13,28865310,199.54,203.38,198.61
199.25,25668330,199.46,201.37,198.56
199.23,17524150,198.58,199.85,198.01
198.87,27738580,199.2,200.14,196.21
198.95,20543190,200.85,201,198.4431
200.62,21654750,198.68,200.74,198.18
199.5,35738280,200.32,202.85,199.23
200.1,25829880,196.42,200.23,196.34
197,18473070,196.45,197.1,195.93
195.69,19090050,194.79,196.37,193.14
195.35,23243160,193.25,196.5,193.15
194.02,22727370,191.09,194.46,191.05
191.24,27308200,191.64,191.68,188.38
189.95,23524830,189.83,190.08,188.54
188.72,20710390,188.95,189.559,187.53
188.47,29771210,188.75,189.76,186.55
186.79,49696100,191.664,192.88,184.58
188.74,43751810,191.51,191.98,186.6
191.05,42287640,195.34,197.69,190.78
195.09,50943120,190.02,196.33,189.81
188.16,31003380,186.23,189.49,184.73
186.53,31440300,188.35,188.99,185.92
188.02,26148590,185.8,188.39,185.79
186.12,39017490,184.85,187.33,183.74
183.73,23527660,183.9,184.1,182.56
181.71,30929740,182.25,183.3,180.92
180.91,32416800,180,182.67,179.37
178.9,31123000,175.49,179.12,175.35
172.91,23985960,170.32,173.07,169.5
172.5,24755470,173.87,174.44,172.02
174.52,20755140,174.67,175.49,173.94
175.53,19238480,175.94,176,174.54
175.85,27413060,175.69,177.75,173.97
174.97,25737560,174.28,175.15,172.89
173.15,27953810,174.32,174.91,172.92
174.87,27817640,173.21,175,172.73
174.33,16991610,173.71,175.3,173.1732
174.23,21846400,174.16,175.87,173.95
172.97,18890250,171.58,173,171.38
171.06,17154540,171.8,172.37,170.3
172.03,25323890,171.19,173.32,170.99
170.93,18958570,169.71,171.44,169.49
170.42,24603320,171.25,171.7,169.75
170.8,21785180,169.71,171.2615,169.38
170.18,22389660,171.39,172.48,169.92
170.89,22224400,170.1,171,169.7
169.43,20940020,171.05,171.21,169.25
